collected_date,source,title,link,matched_watchlist_terms
2026-09-04,Tech.eu,UK startup AI Score raises $5.4M to scale its enterprise AI governance platform,https://tech.eu/2026/09/04/uk-startup-ai-score-raises-54m-to-scale-its-enterprise-ai-governance-platform/,
2026-09-04,Tech.eu,Stellar Alpina secures €160K from Venture Kick for in-space propulsion,https://tech.eu/2026/09/04/stellar-alpina-secures-eur160k-from-venture-kick-for-in-space-propulsion/,
2026-09-04,Tech.eu,Nvidia confirms $12.93BN purchase of Hugging Face,https://tech.eu/2026/09/03/nvidia-confirms-12-93bn-purchase-of-hugging-face/,
2026-09-04,Tech.eu,Atira raises $17.5M to bring AI orchestration to industrial sales,https://tech.eu/2026/09/03/atira-raises-175m-to-bring-ai-orchestration-to-industrial-sales/,
2026-09-04,Tech.eu,The Netherlands' top-funded tech companies in H1 2026,https://tech.eu/2026/09/03/the-netherlands-top-funded-tech-companies-in-h1-2026/,
2026-09-04,Tech.eu,Zeit AI raises €5M to give Europe’s mid-market its own data engineer,https://tech.eu/2026/09/03/zeit-ai-raises-eur5m-to-give-europes-mid-market-its-own-data-engineer/,
2026-09-04,Tech.eu,Rightcharge raises £500K to scale fleet EV charging payments across Europe,https://tech.eu/2026/09/03/rightcharge-raises-ps500k-to-scale-fleet-ev-charging-payments-across-europe/,
2026-09-04,Tech.eu,Londoners can now hail Wayve autonomous vehicles through Uber,https://tech.eu/2026/09/03/londoners-can-now-hail-wayve-autonomous-vehicles-through-uber/,
2026-09-04,Tech.eu,Souk lands $1.6M to turn inactive B2B partners into revenue,https://tech.eu/2026/09/03/souk-lands-16m-to-turn-inactive-b2b-partners-into-revenue/,
2026-09-04,Tech.eu,Backbone raises €4M for automated food quality and compliance,https://tech.eu/2026/09/03/backbone-raises-eur4m-for-automated-food-quality-and-compliance/,expansion; compliance
